"_id","name","lines","tfl_id","latitude","longitude","status","status_desc","status_code","stepfree","line_ids"
0,"Baker Street","Bakerloo, Circle, Hammersmith & City, Jubilee and Metropolitan Lines",10,51.522236,-0.15708,,,,0,"0:2:4:5:6"
1,"Charing Cross","Bakerloo and Northern Lines",44,51.507108,-0.122963,,,,0,"0:7"
2,"Edgware Road","Bakerloo Line",70,51.51956,-0.169068,,,,0,0
3,"Elephant & Castle","Bakerloo and Northern Lines",72,51.49467,-0.10047,,,,0,"0:7"
4,"Embankment","Bakerloo, Circle, District and Northern Lines",74,51.50717,-0.12195,,,,0,"0:2:3:7"
5,"Harlesden","Bakerloo Line and Overground",99,51.53628278,-0.257622488,,,,0,"0:12"
6,"Harrow & Wealdstone","Bakerloo Line and Overground",100,51.59205973,-0.334725352,,,,0,"0:12"
7,"Kensal Green","Bakerloo Line and Overground",121,51.53060655,-0.224253545,,,,0,"0:12"
8,"Kenton","Bakerloo Line and Overground",124,51.58173809,-0.316870809,,,,0,"0:12"
9,"Kilburn Park","Bakerloo Line",127,51.53495818,-0.193963023,,,,0,0
10,"Lambeth North","Bakerloo Line",132,51.49894,-0.11216,,,,0,0
11,"Maida Vale","Bakerloo Line",141,51.52989409,-0.185888819,,,,0,0
12,"Marylebone","Bakerloo Line",145,51.52266,-0.162996,,,,0,0
13,"North Wembley","Bakerloo Line and Overground",161,51.56258091,-0.304072648,,,,0,"0:12"
14,"Oxford Circus","Bakerloo, Central and Victoria Lines",172,51.51517,-0.14119,,,,0,"0:1:9"
15,"Paddington","Bakerloo Line",173,51.5151846554,-0.1755388079,,,,0,0
16,"Piccadilly Circus","Bakerloo and Piccadilly Lines",177,51.51022,-0.13392,,,,0,"0:8"
17,"Queen's Park","Bakerloo Line and Overground",183,51.534179,-0.205257721,,,,0,"0:12"
18,"Regent's Park","Bakerloo Line",189,51.52344,-0.14713,,,,0,0
19,"South Kenton","Bakerloo Line and Overground",209,51.57044666,-0.308566354,,,,0,"0:12"
20,"Stonebridge Park","Bakerloo Line and Overground",223,51.54402388,-0.275978856,,,,0,"0:12"
21,"Warwick Avenue","Bakerloo Line",251,51.52329728,-0.183777837,,,,0,0
22,"Waterloo","Bakerloo, Jubilee, Northern and Waterloo & City Lines",252,51.50322,-0.11328,,,,0,"0:5:7:10"
23,"Wembley Central","Bakerloo Line and Overground",254,51.55122817,-0.29577538,,,,0,"0:12"
24,"Willesden Junction","Bakerloo Line and Overground",269,51.53032031,-0.229378995,,,,0,"0:12"
25,"Bank","Central, Northern and Waterloo & City Lines and DLR",12,51.5134047,-0.08905843,,,,0,"1:7:10:11"
26,"Barkingside","Central Line",15,51.58543,0.08854,,,,0,1
27,"Bethnal Green","Central Line",21,51.52718,-0.05504,,,,0,1
28,"Bond Street","Central and Jubilee Lines",24,51.51461,-0.14897,,,,0,"1:5"
29,"Buckhurst Hill","Central Line",32,51.62611,0.04705,,,,0,1
30,"Chancery Lane","Central Line",43,51.51836,-0.11115,,,,0,1
31,"Chigwell","Central Line",46,51.61795,0.07511,,,,0,1
32,"Debden","Central Line",59,51.64535,0.08364,,,,0,1
33,"Ealing Broadway","Central and District Lines",61,51.51482,-0.30118,,,,0,"1:3"
34,"East Acton","Central Line",64,51.51753,-0.24827,,,,0,1
35,"Epping","Central Line",75,51.69365,0.11495,,,,0,1
36,"Fairlop","Central Line",78,51.59634,0.09125,,,,0,1
37,"Gants Hill","Central Line",84,51.57649,0.06637,,,,0,1
38,"Grange Hill","Central Line",89,51.61326,0.09258,,,,0,1
39,"Greenford","Central Line",92,51.542346,-0.345903,,,,0,1
40,"Hainault","Central Line",94,51.60288,0.09332,,,,0,1
41,"Hanger Lane","Central Line",98,51.53,-0.2929,,,,0,1
42,"Holborn","Central and Piccadilly Lines",111,51.51711,-0.12055,,,,0,"1:8"
43,"Holland Park","Central Line",112,51.50722,-0.20553,,,,0,1
44,"Lancaster Gate","Central Line",133,51.512083,-0.175067,,,,0,1
45,"Leyton","Central Line",136,51.556483,-0.005669,,,,0,1
46,"Leytonstone","Central Line",137,51.56828,0.00739,,,,0,1
47,"Liverpool Street","Central, Circle, Hammersmith & City and Metropolitan Lines",138,51.517675,-0.082458,,,,0,"1:2:4:6"
48,"Loughton","Central Line",140,51.6417,0.05583,,,,0,1
49,"Marble Arch","Central Line",144,51.513597,-0.15869195,,,,0,1
50,"Mile End","Central, District and Hammersmith & City Lines",146,51.525306,-0.033471,,,,0,"1:3:4"
51,"Newbury Park","Central Line",156,51.57565,0.08927,,,,0,1
52,"North Acton","Central Line",157,51.5237,-0.26019,,,,0,1
53,"Northolt","Central Line",163,51.548467,-0.36968,,,,0,1
54,"Notting Hill Gate","Central and Circle Lines",167,51.509028,-0.1962847,,,,0,"1:2"
55,"Perivale","Central Line",176,51.536673,-0.32391,,,,0,1
56,"Queensway","Central Line",185,51.510484,-0.18705,,,,0,1
57,"Redbridge","Central Line",188,51.57618,0.04542,,,,0,1
58,"Roding Valley","Central Line",192,51.61691,0.04264,,,,0,1
59,"Ruislip Gardens","Central Line",196,51.560711,-0.410587,,,,0,1
60,"Shepherd's Bush","Central Line and Overground",201,51.50474,-0.21881,,,,0,"1:12"
61,"Snaresbrook","Central Line",205,51.58002,0.02133,,,,0,1
62,"South Ruislip","Central Line",210,51.556795,-0.398708,,,,0,1
63,"South Woodford","Central Line",212,51.59088,0.02726,,,,0,1
64,"St. Paul's","Central Line",218,51.515285,-0.097598,,,,0,1
65,"Stratford","Central and Jubilee Lines, DLR and Overground",224,51.541146,-0.002675,,,,0,"1:5:11:12"
66,"Theydon Bois","Central Line",230,51.67246,0.10354,,,,0,1
67,"Tottenham Court Road","Central and Northern Lines",233,51.51672074,-0.13093911,,,,0,"1:7"
68,"Wanstead","Central Line",248,51.57565,0.02864,,,,0,1
69,"West Acton","Central Line",256,51.51818,-0.28064,,,,0,1
70,"West Ruislip","Central Line",263,51.569324,-0.43674,,,,0,1
71,"White City","Central Line",266,51.512206,-0.224226,,,,0,1
72,"Woodford","Central Line",273,51.60582,0.03328,,,,0,1
73,"Aldgate","Circle and Metropolitan Lines",2,51.51394,-0.07537,,,,0,"2:6"
74,"Barbican","Circle, Hammersmith & City and Metropolitan Lines",13,51.520865,-0.097758,,,,0,"2:4:6"
75,"Bayswater","Circle Line",17,51.51224,-0.187569,,,,0,2
76,"Blackfriars","Circle and District Lines",22,51.5114403,-0.1041905,,,,0,"2:3"
77,"Cannon Street","Circle and District Lines",39,51.51141,-0.09047,,,,0,"2:3"
78,"Edgware Road","Circle, District and Hammersmith & City Lines",71,51.520195,-0.166986,,,,0,"2:3:4"
79,"Euston Square","Circle, Hammersmith & City and Metropolitan Lines",77,51.52584,-0.1357,,,,0,"2:4:6"
80,"Farringdon","Circle, Hammersmith & City and Metropolitan Lines",79,51.520086,-0.104789,,,,0,"2:4:6"
81,"Great Portland Street","Circle, Hammersmith & City and Metropolitan Lines",90,51.52391,-0.14397,,,,0,"2:4:6"
82,"High Street Kensington","Circle and District Lines",107,51.5003459144,-0.192351664,,,,0,"2:3"
83,"King's Cross St. Pancras","Circle, Hammersmith & City, Metropolitan, Northern, Piccadilly and Victoria Lines",128,51.53057,-0.12399,,,,0,"2:4:6:7:8:9"
84,"Mansion House","Circle and District Lines",143,51.51256,-0.09397,,,,0,"2:3"
85,"Monument","Circle and District Lines",148,51.510165,-0.085991,,,,0,"2:3"
86,"Moorgate","Circle, Hammersmith & City, Metropolitan and Northern Lines",150,51.51817,-0.08859,,,,0,"2:4:6:7"
87,"Sloane Square","Circle and District Lines",204,51.49258474,-0.156090904,,,,0,"2:3"
88,"South Kensington","Circle, District and Piccadilly Lines",208,51.494066,-0.172791,,,,0,"2:3:8"
89,"St. James's Park","Circle and District Lines",216,51.49971,-0.13394,,,,0,"2:3"
90,"Temple","Circle and District Lines",229,51.51114,-0.11341,,,,0,"2:3"
91,"Tower Hill","Circle and District Lines",236,51.50991,-0.076813,,,,0,"2:3"
92,"Victoria","Circle, District and Victoria Lines",246,51.49662869,-0.14400853,,,,0,"2:3:9"
93,"Westminster","Circle, District and Jubilee Lines",265,51.50121,-0.12489,,,,0,"2:3:5"
94,"Acton Town","District and Piccadilly Lines",1,51.5025,-0.278126,,,,0,"3:8"
95,"Aldgate East","District and Hammersmith & City Lines",3,51.51514,-0.07178,,,,0,"3:4"
96,"Barking","District and Hammersmith & City Lines and Overground",14,51.54079,0.08018,,,,0,"3:4:12"
97,"Barons Court","District and Piccadilly Lines",16,51.490281,-0.21434,,,,0,"3:8"
98,"Becontree","District Line",18,51.54029,0.1262,,,,0,3
99,"Bow Road","District and Hammersmith & City Lines",28,51.52709,-0.02482,,,,0,"3:4"
100,"Bromley-by-Bow","District and Hammersmith & City Lines",31,51.52466,-0.01282,,,,0,"3:4"
101,"Chiswick Park","District Line",47,51.49466,-0.26866,,,,0,3
102,"Dagenham East","District Line",57,51.54396,0.16439,,,,0,3
103,"Dagenham Heathway","District Line",58,51.54173,0.14543,,,,0,3
104,"Ealing Common","District and Piccadilly Lines",62,51.50997,-0.28825,,,,0,"3:8"
105,"Earl's Court","District and Piccadilly Lines",63,51.491521,-0.193906,,,,0,"3:8"
106,"East Ham","District and Hammersmith & City Lines",66,51.53931,0.0526,,,,0,"3:4"
107,"East Putney","District Line",67,51.459015,-0.211138,,,,0,3
108,"Elm Park","District Line",73,51.54969,0.19779,,,,0,3
109,"Fulham Broadway","District Line",83,51.48033,-0.19488,,,,0,3
110,"Gloucester Road","Cicle, District and Piccadilly Lines",85,51.49408266,-0.17295341,,,,0,"2:3:8"
111,"Gunnersbury","District Line and Overground",93,51.49126844,-0.275554312,,,,0,3
112,"Hammersmith","District and Piccadilly Lines",95,51.492328,-0.222825,,,,0,"3:8"
113,"Hornchurch","District Line",114,51.55387,0.21797,,,,0,3
114,"Kew Gardens","District Line and Overground",125,51.47725641,-0.284980014,,,,0,"3:12"
115,"Kensington (Olympia)","District Line and Overground",122,51.49675,-0.20931,,,,0,"3:12"
116,"Parsons Green","District Line",175,51.47488,-0.20205,,,,0,3
117,"Plaistow","District and Hammersmith & City Lines",180,51.53122,0.01659,,,,0,"3:4"
118,"Putney Bridge","District Line",182,51.46868,-0.2088141,,,,0,3
119,"Ravenscourt Park","District Line",186,51.49419,-0.2356,,,,0,3
120,"Richmond","District Line and Overground",190,51.4632474,-0.300618047,,,,0,"3:12"
121,"Southfields","District Line",213,51.444941,-0.206466,,,,0,3
122,"Stamford Brook","District Line",219,51.494935,-0.24619,,,,0,3
123,"Stepney Green","District and Hammersmith & City Lines",221,51.521884,-0.046546,,,,0,"3:4"
124,"Turnham Green","District and Piccadilly Lines",238,51.495143,-0.25406,,,,0,"3:8"
125,"Upminster","District Line",240,51.55925,0.25177,,,,0,3
126,"Upminster Bridge","District Line",241,51.55847,0.23509,,,,0,3
127,"Upney","District Line",242,51.53824,0.09998,,,,0,3
128,"Upton Park","District and Hammersmith & City Lines",243,51.53514,0.03373,,,,0,"3:4"
129,"West Brompton","District Line and Overground",257,51.48681,-0.19475,,,,0,"3:12"
130,"West Ham","District, Hammersmith & City and Jubilee Lines",259,51.527917,0.004141,,,,0,"3:4:5"
131,"West Kensington","District Line",262,51.49085,-0.20532,,,,0,3
132,"Whitechapel","District and Hammersmith & City Lines and Overground",267,51.51946,-0.05951,,,,0,"3:4:12"
133,"Wimbledon","District Line",270,51.422,-0.20544,,,,0,3
134,"Wimbledon Park","District Line",271,51.43391,-0.19864,,,,0,3
135,"Hammersmith","Hammersmith & City Line",96,51.494190748,-0.225964953,,,,0,4
136,"Bermondsey","Jubilee Line",20,51.49813,-0.0635,,,,0,5
137,"Canada Water","Jubilee Line and Overground",36,51.49787,-0.04967,,,,0,"5:12"
138,"Canary Wharf","Jubilee Line and DLR",37,51.50362,-0.01987,,,,0,"5:11"
139,"Canning Town","Jubilee Line and DLR",38,51.514,0.0083,,,,0,"5:11"
140,"Canons Park","Jubilee Line",40,51.6081,-0.29487,,,,0,5
141,"Dollis Hill","Jubilee Line",60,51.5525,-0.23884,,,,0,5
142,"Finchley Road","Jubilee and Metropolitan Lines",81,51.546701,-0.179867,,,,0,"5:6"
143,"Green Park","Jubilee, Piccadilly and Victoria Lines",91,51.50674,-0.14276,,,,0,"5:8:9"
144,"Kilburn","Jubilee Line",126,51.5471715,-0.205002,,,,0,5
145,"Kingsbury","Jubilee Line",129,51.58422,-0.2788,,,,0,5
146,"London Bridge","Jubilee and Northern Lines",139,51.505353,-0.084826,,,,0,"5:7"
147,"Neasden","Jubilee Line",153,51.55427,-0.25042,,,,0,5
148,"North Greenwich","Jubilee Line",159,51.50056,0.0036,,,,0,5
149,"Queensbury","Jubilee Line",184,51.59437,-0.28655,,,,0,5
150,"Southwark","Jubilee Line",215,51.50384,-0.10478,,,,0,5
151,"St. John's Wood","Jubilee Line",217,51.53472,-0.17428,,,,0,5
152,"Stanmore","Jubilee Line",220,51.61895,-0.30241,,,,0,5
153,"Swiss Cottage","Jubilee Line",228,51.54333,-0.17436,,,,0,5
154,"Wembley Park","Jubilee and Metropolitan Lines",255,51.56355598,-0.279770242,,,,0,"5:6"
155,"West Hampstead","Jubilee Line and Overground",260,51.54716,-0.19275,,,,0,"5:12"
156,"Willesden Green","Jubilee Line",268,51.54919,-0.22106,,,,0,5
157,"Amersham","Metropolitan Line",5,51.67435,-0.60732,,,,0,6
158,"Chalfont & Latimer","Metropolitan Line",41,51.66822,-0.56053,,,,0,6
159,"Chorleywood","Metropolitan Line",48,51.65429872,-0.518373353,,,,0,6
160,"Croxley","Metropolitan Line",56,51.64733268,-0.441479115,,,,0,6
161,"Eastcote","Metropolitan and Piccadilly Lines",68,51.57676,-0.39629,,,,0,"6:8"
162,"Harrow on the Hill","Metropolitan Line",101,51.579335,-0.337052,,,,0,6
163,"Hillingdon","Metropolitan and Piccadilly Lines",110,51.55364,-0.45062,,,,0,"6:8"
164,"Ickenham","Metropolitan and Piccadilly Lines",119,51.56147,-0.44257,,,,0,"6:8"
